app,review,rating,date
CBE,"Very good app,",5,2025-05-22T16:09:44
CBE,sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22T16:03:46
CBE,ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22T15:20:56
CBE,I hate this app 😒,1,2025-05-22T12:27:49
CBE,trustful,5,2025-05-22T11:00:13
CBE,I like,5,2025-05-22T02:52:56
CBE,update issue,4,2025-05-22T02:25:20
CBE,its not working over safari network,1,2025-05-22T02:08:26
CBE,oldie,1,2025-05-22T00:55:50
CBE,it doesn't work,1,2025-05-21T20:39:04
CBE,best,5,2025-05-21T20:18:27
CBE,"This app is good, and we are using it well",1,2025-05-21T19:43:36
CBE,ok,5,2025-05-21T19:41:31
CBE,best app,5,2025-05-21T19:19:48
CBE,best,5,2025-05-21T19:07:59
CBE,very nice 👌 app for android phone,5,2025-05-21T17:28:54
CBE,good app,5,2025-05-21T16:20:26
CBE,Yes Yes,5,2025-05-21T16:01:46
CBE,በጣም ከርፋፋ,1,2025-05-21T14:37:48
CBE,easy to use helpful in my life,5,2025-05-21T12:23:24
CBE,good 👍,4,2025-05-21T12:07:35
CBE,the best mobile banking app,5,2025-05-21T12:06:37
CBE,"this app is very useful app,it saves time,and it is secure",4,2025-05-21T11:43:38
CBE,ok,2,2025-05-21T11:14:52
CBE,it's a good application 👍,5,2025-05-21T10:58:52
CBE,the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21T07:02:44
CBE,poor service,1,2025-05-21T00:22:33
CBE,amazing,5,2025-05-20T19:28:06
CBE,it is reliable and easy to use.,5,2025-05-20T17:50:21
CBE,the most annoying mobile banking app I've ever seen,1,2025-05-20T17:21:51
CBE,Cbe mobile banking,5,2025-05-20T14:12:05
CBE,"i can't make Screenshout in this app, please made modification",5,2025-05-20T08:44:31
CBE,Best app I loved it,5,2025-05-19T02:30:18
CBE,nice app,5,2025-05-19T02:11:17
CBE,wow,5,2025-05-18T16:48:55
CBE,Amazing applicatiom sometimes doesnt work!,5,2025-05-18T16:37:20
CBE,well satisfied with this beautiful app,5,2025-05-18T11:11:52
